word vector file:		GiTuCo.filt.uniq.stemB.format_S_Rcuspod.samp44p_w5_v200_mc10_i5_cbow.w2v.vec
corpus file:			GiTuCo.filt.uniq.stemB.sample
input file:				_arg_verb_list_50x100
minimum sample size:	30
minimum context size:	15
window size:			20
filters:				cuspod
is keyword included?	true
PCA variance threshold:	0.45
number of threads:		8

arg	verb	sample size	argComp	verbComp	phraseAvgComp	phrasePCAcomp
öcü:1	al:v	null	null	null	null	null
günah:1	al:v	null	null	null	null	null
ilham:0	al:v	null	null	null	null	null
alt:3	al:v	null	null	null	null	null
hedef:0	al:v	null	null	null	null	null
pay:1	al:v	null	null	null	null	null
gönlü:1	al:v	1	null	null	null	null
yan:2	al:v	null	null	null	null	null
ağır:3	al:v	null	null	null	null	null
diploma:1	al:v	null	null	null	null	null
güvenoyu&:0	al:v	null	null	null	null	null
ders:1	al:v	1	null	null	null	null
tedbir:1	al:v	null	null	null	null	null
patent:1	al:v	null	null	null	null	null
yol:v	al:v	1	null	null	null	null
bilgi:0	al:v	null	null	null	null	null
bilet:0	al:v	null	null	null	null	null
ücret:0	al:v	null	null	null	null	null
diğer:0	arE:v	11	null	null	null	null
mumlE:v	arE:v	null	null	null	null	null
telefonlE:v	arE:v	null	null	null	null	null
hizmet:1	arE:v	null	null	null	null	null
açıK:0	arE:v	1	null	null	null	null
bir:0	arE:v	9	null	null	null	null
hak0:1	arE:v	null	null	null	null	null
arE:v	arE:v	1	null	null	null	null
funda:0	arE:v	null	null	null	null	null
yol:1	arE:v	1	null	null	null	null
buzağı:0	arE:v	null	null	null	null	null
merkezi:1	arE:v	null	null	null	null	null
çözüm:0	arE:v	null	null	null	null	null
bahane:0	arE:v	null	null	null	null	null
şube:1	arE:v	null	null	null	null	null
ben:1	arE:v	null	null	null	null	null
bomba:0	arE:v	1	null	null	null	null
kendi&:5	arE:v	null	null	null	null	null
arkadaş:1	arE:v	1	null	null	null	null
numara:1	arE:v	null	null	null	null	null
hâk0:0	arE:v	null	null	null	null	null
çare:0	arE:v	null	null	null	null	null
hat0:1	arE:v	null	null	null	null	null
anne:1	arE:v	null	null	null	null	null
kıllı:1	arE:v	null	null	null	null	null
deliK:0	arE:v	null	null	null	null	null
bir:1	arE:v	null	null	null	null	null
telefon:3	arE:v	null	null	null	null	null
numara:3	arE:v	null	null	null	null	null
itfaiye:1	arE:v	null	null	null	null	null
başka:5	arE:v	1	null	null	null	null
banka:1	arE:v	null	null	null	null	null
cevaP:1	arE:v	null	null	null	null	null
yanıt:0	arE:v	null	null	null	null	null
macera:0	arE:v	null	null	null	null	null
baba:1	arE:v	null	null	null	null	null
cevaP:0	arE:v	1	null	null	null	null
iş:0	arE:v	2	null	null	null	null
niyet:0	arE:v	null	null	null	null	null
siz:1	arE:v	null	null	null	null	null
felliK:0	arE:v	null	null	null	null	null
belediye:1	arE:v	null	null	null	null	null
firma:1	arE:v	null	null	null	null	null
cevapsız:0	arE:v	null	null	null	null	null
jandarma:1	arE:v	null	null	null	null	null
polis:0	arE:v	null	null	null	null	null
kılıf:0	arE:v	null	null	null	null	null
sen:1	arE:v	null	null	null	null	null
yol:0	arE:v	null	null	null	null	null
kılsız:1	arE:v	null	null	null	null	null
yanıt:1	arE:v	1	null	null	null	null
görüntülü:0	arE:v	null	null	null	null	null
define:0	arE:v	null	null	null	null	null
